17,20,15,18,26,18,26,16,28,25,19,18,15,26,15,24
16,18,30,22,18,20,24,29,18,20,15,20,24,19,28,25
25,19,25,30,19,22,29,30,18,23,25,27,23,17,20,25
21,30,22,17,22,29,28,27,30,30,27,27,27,22,28,30
28,28,17,15,29,19,18,29,22,24,16,24,21,19,25,17
17,18,27,28,19,26,19,29,21,29,30,18,30,15,23,17
18,27,24,22,17,25,27,20,25,30,25,17,20,19,30,17
21,16,23,20,26,16,16,17,26,30,19,29,18,19,30,16
29,16,17,20,24,29,16,19,20,23,28,25,22,16,21,25
24,28,29,28,18,24,18,29,20,16,30,22,29,28,15,20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,26,18,21,29,18,27,24,18,28,19,21,17,27,16,26
18,22,30,29,18,27,27,20,30,17,26,22,28,22,23,23
15,30,20,16,15,18,24,24,25,20,30,17,26,25,27,19
29,15,24,18,28,19,18,21,28,27,22,20,23,17,17,24
23,29,29,22,26,24,17,21,29,16,25,17,29,18,25,28
22,24,28,16,24,19,17,25,25,23,25,25,25,20,23,26
26,22,29,17,21,16,26,20,30,25,23,28,26,17,19,17
24,22,15,29,27,24,17,30,27,25,27,25,16,19,17,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,17,30,26,24,30,21,23,18,17,23,24,30,23,24,25
22,24,23,22,24,19,20,18,17,25,27,16,27,24,28,28
18,17,27,21,21,23,29,29,22,24,21,28,18,18,19,26
20,28,19,26,22,22,15,29,24,16,18,21,23,19,15,28
27,29,21,19,20,20,20,21,21,21,23,26,29,29,23,30
21,30,26,18,22,15,26,22,24,24,21,23,26,27,24,29
19,29,27,18,28,28,30,16,24,29,26,30,28,26,30,17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,30,24,17,18,15,23,19,25,30,19,15,16,18,22,25
20,23,25,15,17,30,25,16,19,27,24,17,17,17,24,26
24,15,28,21,25,24,16,25,16,29,17,20,17,16,21,20
27,19,24,24,16,16,29,23,18,29,29,20,18,18,15,20
19,21,17,17,15,16,28,25,15,15,18,21,24,25,26,15
22,29,19,30,20,16,16,21,15,26,25,24,22,25,17,29
30,30,29,21,22,23,19,17,26,27,18,23,17,30,18,27
15,26,16,24,27,24,30,28,16,29,18,15,27,17,22,16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,30,23,15,23,30,21,25,17,15,27,22,22,28,18,24
19,29,24,26,24,20,23,19,20,17,27,21,27,27,20,15
15,24,18,15,24,18,30,29,26,27,17,25,20,16,15,15
