12.03,12.03,14.26,12.03,12.03,12.03,12.03,14.26,14.26,16.17,14.26,14.26,14.26,14.26,12.03,14.26,12.03,12.03,12.03,12.03,12.03,12.03,14.26,12.03,12.03,12.03,12.03,14.26,14.26,14.26,16.17,14.26,14.26,16.17,14.26,12.03,14.26,12.03,12.03,14.26,12.03
12.03,12.03,14.26,12.03,12.03,12.03,12.03,14.26,14.26,16.17,14.26,14.26,14.26,14.26,12.03,14.26,12.03,12.03,12.03,12.03,12.03,12.03,14.26,12.03,12.03,12.03,12.03,14.26,14.26,14.26,16.17,14.26,14.26,16.17,14.26,12.03,14.26,12.03,12.03,14.26,12.03
21.39,21.39,25.35,21.39,21.39,21.39,21.39,25.35,25.35,28.75,25.35,25.35,25.35,25.35,21.39,25.35,21.39,21.39,21.39,21.39,21.39,21.39,25.35,21.39,21.39,21.39,21.39,25.35,25.35,25.35,28.75,25.35,25.35,28.75,25.35,21.39,25.35,21.39,21.39,25.35,21.39
21.39,21.39,25.35,21.39,21.39,21.39,21.39,25.35,25.35,28.75,25.35,25.35,25.35,25.35,21.39,25.35,21.39,21.39,21.39,21.39,21.39,21.39,25.35,21.39,21.39,21.39,21.39,25.35,25.35,25.35,28.75,25.35,25.35,28.75,25.35,21.39,25.35,21.39,21.39,25.35,21.39
10.36,10.36,12.28,10.36,10.36,10.36,10.36,12.28,12.28,13.93,12.28,12.28,12.28,12.28,10.36,12.28,10.36,10.36,10.36,10.36,10.36,10.36,12.28,10.36,10.36,10.36,10.36,12.28,12.28,12.28,13.93,12.28,12.28,13.93,12.28,10.36,12.28,10.36,10.36,12.28,10.36
10.36,10.36,12.28,10.36,10.36,10.36,10.36,12.28,12.28,13.93,12.28,12.28,12.28,12.28,10.36,12.28,10.36,10.36,10.36,10.36,10.36,10.36,12.28,10.36,10.36,10.36,10.36,12.28,12.28,12.28,13.93,12.28,12.28,13.93,12.28,10.36,12.28,10.36,10.36,12.28,10.36
26.06,26.06,30.89,26.06,26.06,26.06,26.06,30.89,30.89,35.04,30.89,30.89,30.89,30.89,26.06,30.89,26.06,26.06,26.06,26.06,26.06,26.06,30.89,26.06,26.06,26.06,26.06,30.89,30.89,30.89,35.04,30.89,30.89,35.04,30.89,26.06,30.89,26.06,26.06,30.89,26.06
26.06,26.06,30.89,26.06,26.06,26.06,26.06,30.89,30.89,35.04,30.89,30.89,30.89,30.89,26.06,30.89,26.06,26.06,26.06,26.06,26.06,26.06,30.89,26.06,26.06,26.06,26.06,30.89,30.89,30.89,35.04,30.89,30.89,35.04,30.89,26.06,30.89,26.06,26.06,30.89,26.06
2.00,2.00,2.38,2.00,2.00,2.00,2.00,2.38,2.38,2.70,2.38,2.38,2.38,2.38,2.00,2.38,2.00,2.00,2.00,2.00,2.00,2.00,2.38,2.00,2.00,2.00,2.00,2.38,2.38,2.38,2.70,2.38,2.38,2.70,2.38,2.00,2.38,2.00,2.00,2.38,2.00
2.00,2.00,2.38,2.00,2.00,2.00,2.00,2.38,2.38,2.70,2.38,2.38,2.38,2.38,2.00,2.38,2.00,2.00,2.00,2.00,2.00,2.00,2.38,2.00,2.00,2.00,2.00,2.38,2.38,2.38,2.70,2.38,2.38,2.70,2.38,2.00,2.38,2.00,2.00,2.38,2.00
45.19,45.19,53.56,45.19,45.19,45.19,45.19,53.56,53.56,60.75,53.56,53.56,53.56,53.56,45.19,53.56,45.19,45.19,45.19,45.19,45.19,45.19,53.56,45.19,45.19,45.19,45.19,53.56,53.56,53.56,60.75,53.56,53.56,60.75,53.56,45.19,53.56,45.19,45.19,53.56,45.19
45.19,45.19,53.56,45.19,45.19,45.19,45.19,53.56,53.56,60.75,53.56,53.56,53.56,53.56,45.19,53.56,45.19,45.19,45.19,45.19,45.19,45.19,53.56,45.19,45.19,45.19,45.19,53.56,53.56,53.56,60.75,53.56,53.56,60.75,53.56,45.19,53.56,45.19,45.19,53.56,45.19
5.57,5.57,6.60,5.57,5.57,5.57,5.57,6.60,6.60,7.49,6.60,6.60,6.60,6.60,5.57,6.60,5.57,5.57,5.57,5.57,5.57,5.57,6.60,5.57,5.57,5.57,5.57,6.60,6.60,6.60,7.49,6.60,6.60,7.49,6.60,5.57,6.60,5.57,5.57,6.60,5.57
